cloudiness,country,dt,humidity,lat,lon,max_temperature,wind_speed
11,NZ,1567219723,42,-45.19,169.32,62.01,5.01
73,CK,1567219432,56,-21.21,-159.78,71.6,5.82
33,ZA,1567219723,78,-34.42,19.24,52,5.99
0,AU,1567219724,39,-33.21,138.6,65.68,15.79
0,CL,1567219724,75,-36.41,-71.9,46.4,10.29
0,IT,1567219724,68,39.09,17.12,73.6,4.79
16,ZW,1567219724,34,-17.85,25.86,64.78,3.67
40,US,1567219457,63,42.65,-73.75,66.99,4.7
85,NZ,1567219725,80,-46.19,168.86,55,15.01
26,PG,1567219725,49,-5.56,150.15,89.62,9.1
0,AR,1567219725,82,-51.62,-69.23,39.2,13.87
85,CN,1567219725,67,43.11,129.52,69.82,10.09
75,PH,1567219725,70,14.18,121.12,87.01,6.93
33,ZW,1567219726,36,-18.35,26.5,64.96,4.59
0,PF,1567219726,77,-9.8,-139.03,79.54,18.57
0,AU,1567219726,51,-38.19,146.54,70,4
0,FI,1567219727,87,64.91,25.51,55.4,6.93
90,CL,1567219656,93,-42.48,-73.76,42.8,5.82
0,SA,1567219704,71,18.39,42.45,64.4,2.75
90,US,1567219727,74,19.71,-155.08,82.4,10.29
0,AU,1567219668,47,-33.64,115.35,63,19.13
48,ML,1567219727,78,13.3,-4.9,77.74,6.22
0,AU,1567219728,34,-23.58,149.07,75.58,2.13
75,AR,1567219728,69,-54.81,-68.31,39.2,3.69
65,BR,1567219728,93,-0.53,-65.05,73.78,2.42
20,BB,1567219728,83,13.22,-59.52,80.6,10.29
44,PF,1567219728,75,-23.12,-134.97,71.8,19.82
100,RU,1567219729,95,67.57,33.4,54.16,9.17
0,PF,1567219729,66,-16.52,-151.75,79.72,9.75
65,AR,1567219729,51,-43.3,-65.11,46.6,13.69
0,IQ,1567219729,33,33.3,44.38,86,4.7
97,IN,1567219729,80,25.17,75.86,80.8,4.5
75,US,1567219715,82,36.67,-121.66,72,11.41
0,RU,1567219730,78,65.01,53.91,39.4,4.54
37,MV,1567219730,71,-0.6,73.08,82.6,7.49
75,US,1567219730,82,34.64,-120.46,72,11.41
100,NL,1567219730,93,52.92,6.79,59,1.12
100,RU,1567219731,84,51.96,58.16,44.44,13.67
97,RU,1567219731,69,68.75,161.3,39.76,9.26
75,LR,1567219731,94,6.65,-10.59,75.2,6.08
0,ZA,1567219607,88,-30.97,22.13,36.7,19.8
26,BR,1567219732,82,-2.92,-39.92,76.66,10.54
15,AU,1567219732,76,-32.27,150.89,55,9.6
20,RU,1567219732,88,59.7,30.79,64,6.71
0,CD,1567219732,45,-7.04,29.76,63.52,4.52
6,RU,1567219732,82,55.97,54.79,41.02,10.6
0,DE,1567219733,93,48.82,11.85,63,1.12
41,ZA,1567219733,76,-34.53,20.04,52,12.75
94,RU,1567219733,87,55.34,59.45,39.4,8.08
0,CD,1567219733,45,-7.04,29.76,63.52,4.52
97,ID,1567219733,65,-0.86,131.25,84.04,10.16
75,MU,1567219733,78,-20.41,57.7,71.6,14.99
33,SE,1567219734,100,64.75,20.95,53.6,3.36
4,KI,1567219734,65,3.07,172.79,84.04,9.53
100,BR,1567219734,92,-30.17,-50.22,62.08,14.12
20,US,1567219734,66,22.08,-159.32,86,11.41
100,PG,1567219735,70,-2.57,150.8,84.4,6.33
15,IN,1567219735,72,29.07,80.11,85.66,3.62
20,ID,1567219735,49,1.44,125.19,89.6,3.36
0,CN,1567219735,65,29.86,90.73,48.04,2.91
22,ET,1567219619,84,8.96,38.73,52.72,2.93
1,US,1567219736,72,39.95,-94.76,68,8.05
90,PG,1567219736,78,-2.02,147.27,83.32,7.9
75,IN,1567219736,94,15.34,74.49,71.6,5.82
90,ES,1567219736,100,42.77,-9.06,66.99,1.12
0,RO,1567219736,65,45.1,24.1,62.08,2.68
0,RU,1567219737,49,71.97,114.09,50.38,4
90,EE,1567219737,96,59.1,26.19,54.34,5.64
86,GN,1567219737,98,9.65,-9.78,67.48,2.64
100,CN,1567219737,97,30.29,109.48,59.74,2.86
1,US,1567219737,48,40.42,-120.65,78.8,5.82
100,CD,1567219738,84,-6.42,20.79,71.44,3.38
77,RU,1567219738,85,69.7,170.27,37.78,7.23
90,CA,1567219738,82,52.41,-108.71,55.4,2.24
75,CA,1567219738,77,45.63,-73.98,68,3.36
80,NO,1567219739,94,70.98,25.97,49.84,4.36
0,GY,1567219511,94,6.8,-58.16,77,2.24
77,RU,1567219740,86,65.53,72.51,47.32,15.19
75,IE,1567219740,100,52.84,-8.98,59,20.8
100,RU,1567219741,96,73.51,80.55,40.12,13.58
45,AU,1567219741,72,-33.86,121.89,59,24.16
81,RU,1567219741,51,63.29,118.35,65.32,3.13
90,VU,1567219741,83,-19.55,169.27,77,4.7
64,NZ,1567219741,52,-46.28,169.85,60.01,8.01
18,AR,1567219742,68,-38.31,-60.23,41.38,4.36
0,RU,1567219742,73,56.17,91.82,69.8,6.44
0,NA,1567219742,62,-26.65,15.16,53.6,18.34
100,MV,1567219742,72,2.67,72.89,82.6,7.63
29,RU,1567219742,85,68.05,39.51,52.36,18.3
1,AO,1567219743,75,-15.19,12.15,63.16,4.54
100,PH,1567219601,78,17.49,120.43,80.62,8.25
75,BN,1567219614,70,5.28,115.24,89.6,4.7
33,ZA,1567219743,87,-34,24.73,50.2,21.79
50,ES,1567219743,82,42.56,-2.36,68,3.09
75,CA,1567219744,86,69.44,-133.03,37.4,6.93
1,US,1567219744,94,35.22,-97.44,73.99,8.05
0,TZ,1567219744,92,-6.04,36.03,59.02,5.32
79,RU,1567219744,55,65.8,87.96,55.96,15.66
75,MU,1567219745,78,-20.26,57.41,71.6,14.99
1,US,1567219745,93,41.42,-75.63,66.99,3.42
100,RU,1567219745,94,66.04,60.13,40.84,11.54
90,MX,1567219745,77,23.99,-104.67,63,8.05
90,PT,1567219746,100,41.76,-8.56,64,2.24
20,CA,1567219747,55,56.19,-117.61,62.6,2.24
0,BR,1567219747,56,-22.84,-46.65,69.8,8.05
100,RU,1567219748,95,62.08,32.35,57.04,4.7
76,PL,1567219748,94,54.15,22.76,57,1.43
38,ML,1567219749,93,13.76,-10.85,71.98,5.14
0,GL,1567219749,48,65.61,-37.64,42.8,4.32
39,NG,1567219749,96,9.67,8.4,66.94,3.22
1,US,1567219750,21,42.03,-121.6,82.4,5.82
0,FR,1567219750,77,45.6,-0.6,68,5.91
3,RU,1567219750,43,54.44,113.59,64.42,4.74
1,US,1567219750,40,64.86,-147.8,68,5.82
50,ID,1567219750,30,-8.45,118.73,88.9,5.53
75,CA,1567219751,100,50.23,-63.6,57.2,2.24
1,US,1567219668,77,40.8,-124.16,66.2,9.17
100,MX,1567219751,94,17.42,-93.3,74.86,3.94
75,AU,1567219634,39,-42.88,147.33,64.4,13.87
83,UA,1567219752,93,50.19,23.83,59,5.53
20,CA,1567219636,46,62.45,-114.38,50,6.93
40,SN,1567219753,100,14.69,-16.54,75.2,4.7
90,CA,1567219753,60,45.36,-73.48,68,4.7
40,JP,1567219753,65,34.51,131.49,80.6,11.41
0,MX,1567219753,67,19.1,-97.53,56.5,4.41
100,RU,1567219753,64,50.1,139.13,66.4,2.21
75,JP,1567219755,74,24.8,125.28,89.6,13.87
100,RU,1567219590,60,70.62,147.9,37.78,4.27
100,NO,1567219755,82,70.03,20.97,53.8,12.82
37,RU,1567219755,90,50.68,156.12,50.56,11.99
20,BR,1567219756,94,-14.79,-39.05,68,4.7
90,AU,1567219756,55,-35.36,150.48,61,11.41
40,BR,1567219756,94,-5.2,-35.46,71.6,3.36
25,GB,1567219756,100,51.2,-2.52,61,5.82
1,CA,1567219756,81,53.36,-104.02,53.6,3.36
20,CA,1567219757,60,68.22,-135.01,42.8,6.93
73,IN,1567219757,88,27.17,88.37,70.72,4.5
26,NZ,1567219757,71,-36.83,174.44,59,18.34
75,JP,1567219757,78,33.72,135.99,80.6,6.93
0,PT,1567219757,42,41.42,-6.55,68.92,1.99
87,BR,1567219758,97,-29.26,-51.53,63,15.01
